YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2023-02,WEEKENDS/HOLIDAY,15,TRAIN,EW7,3863,4348
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,NS8,443,777
2023-02,WEEKDAY,0,TRAIN,NS8,375,1697
2023-02,WEEKDAY,18,TRAIN,NS14,28566,61046
2023-02,WEEKENDS/HOLIDAY,18,TRAIN,NS14,7649,10378
2023-02,WEEKENDS/HOLIDAY,12,TRAIN,EW17,7709,7146
2023-02,WEEKDAY,12,TRAIN,EW17,14232,14263
2023-02,WEEKENDS/HOLIDAY,11,TRAIN,TE22,438,1644
2023-02,WEEKDAY,11,TRAIN,TE22,504,1902
2023-02,WEEKDAY,17,TRAIN,NE12/CC13,46161,70528
2023-02,WEEKENDS/HOLIDAY,17,TRAIN,NE12/CC13,18466,22281
2023-02,WEEKDAY,8,TRAIN,NS21/DT11,50006,61833
2023-02,WEEKENDS/HOLIDAY,8,TRAIN,NS21/DT11,9105,10706
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,NE16/STC,121,916
2023-02,WEEKDAY,0,TRAIN,NE16/STC,280,2135
2023-02,WEEKDAY,0,TRAIN,NE17/PTC,230,1965
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,NE17/PTC,124,998
2023-02,WEEKDAY,13,TRAIN,BP12,3551,1251
2023-02,WEEKENDS/HOLIDAY,13,TRAIN,BP12,763,572
2023-02,WEEKDAY,14,TRAIN,NS17/CC15,35022,30294
2023-02,WEEKENDS/HOLIDAY,14,TRAIN,NS17/CC15,12923,12613
2023-02,WEEKENDS/HOLIDAY,16,TRAIN,CC10/DT26,4579,3841
2023-02,WEEKDAY,16,TRAIN,CC10/DT26,10150,8992
2023-02,WEEKDAY,6,TRAIN,DT28,10884,6023
2023-02,WEEKENDS/HOLIDAY,6,TRAIN,DT28,1834,966
2023-02,WEEKENDS/HOLIDAY,5,TRAIN,DT7,21,3
2023-02,WEEKDAY,5,TRAIN,DT7,122,59
2023-02,WEEKENDS/HOLIDAY,11,TRAIN,PW5,1151,532
2023-02,WEEKDAY,11,TRAIN,PW5,1443,942
2023-02,WEEKDAY,18,TRAIN,BP3,3073,8776
2023-02,WEEKENDS/HOLIDAY,18,TRAIN,BP3,1030,1522
2023-02,WEEKENDS/HOLIDAY,22,TRAIN,CC28,355,1017
2023-02,WEEKDAY,22,TRAIN,CC28,800,2464
2023-02,WEEKENDS/HOLIDAY,13,TRAIN,SW6,1050,931
2023-02,WEEKDAY,13,TRAIN,SW6,3873,3406
2023-02,WEEKDAY,23,TRAIN,CC23,1030,264
2023-02,WEEKENDS/HOLIDAY,23,TRAIN,CC23,285,98
2023-02,WEEKDAY,22,TRAIN,DT13,4665,3291
2023-02,WEEKENDS/HOLIDAY,22,TRAIN,DT13,1373,1280
2023-02,WEEKENDS/HOLIDAY,23,TRAIN,NE14,746,4447
2023-02,WEEKDAY,23,TRAIN,NE14,1465,10478
2023-02,WEEKDAY,22,TRAIN,NS9/TE2,14032,29888
2023-02,WEEKENDS/HOLIDAY,22,TRAIN,NS9/TE2,6784,12028
2023-02,WEEKDAY,12,TRAIN,DT22,3971,4699
2023-02,WEEKENDS/HOLIDAY,12,TRAIN,DT22,2146,3405
2023-02,WEEKDAY,18,TRAIN,DT28,21739,14790
2023-02,WEEKENDS/HOLIDAY,18,TRAIN,DT28,3094,3325
2023-02,WEEKENDS/HOLIDAY,12,TRAIN,DT34,1385,863
2023-02,WEEKDAY,12,TRAIN,DT34,2757,1820
2023-02,WEEKENDS/HOLIDAY,9,TRAIN,SW7,1079,355
2023-02,WEEKDAY,9,TRAIN,SW7,2639,788
2023-02,WEEKENDS/HOLIDAY,12,TRAIN,NE17/PTC,14467,12803
2023-02,WEEKDAY,12,TRAIN,NE17/PTC,22786,21459
2023-02,WEEKDAY,19,TRAIN,NE8,19017,30729
2023-02,WEEKENDS/HOLIDAY,19,TRAIN,NE8,12589,12388
2023-02,WEEKDAY,21,TRAIN,NS13,24386,38027
2023-02,WEEKENDS/HOLIDAY,21,TRAIN,NS13,9937,13505
2023-02,WEEKENDS/HOLIDAY,5,TRAIN,NS13,3895,480
2023-02,WEEKDAY,5,TRAIN,NS13,20404,2571
2023-02,WEEKDAY,5,TRAIN,PW6,522,34
2023-02,WEEKENDS/HOLIDAY,5,TRAIN,PW6,90,4
2023-02,WEEKDAY,13,TRAIN,CC21,5503,4681
2023-02,WEEKENDS/HOLIDAY,13,TRAIN,CC21,2456,2303
2023-02,WEEKENDS/HOLIDAY,14,TRAIN,PE7,1221,1284
2023-02,WEEKDAY,14,TRAIN,PE7,2178,3536
2023-02,WEEKDAY,10,TRAIN,CC20,2612,1854
2023-02,WEEKENDS/HOLIDAY,10,TRAIN,CC20,1868,1370
2023-02,WEEKDAY,21,TRAIN,EW25,2249,7634
2023-02,WEEKENDS/HOLIDAY,21,TRAIN,EW25,1319,2629
2023-02,WEEKDAY,16,TRAIN,CC2,3785,1979
2023-02,WEEKENDS/HOLIDAY,16,TRAIN,CC2,1776,1275
2023-02,WEEKDAY,14,TRAIN,CC12,9965,3890
2023-02,WEEKENDS/HOLIDAY,14,TRAIN,CC12,1181,1315
2023-02,WEEKDAY,16,TRAIN,NS20,37152,17543
2023-02,WEEKENDS/HOLIDAY,16,TRAIN,NS20,8896,6530
2023-02,WEEKENDS/HOLIDAY,21,TRAIN,CC24,1683,653
2023-02,WEEKDAY,21,TRAIN,CC24,11922,1600
2023-02,WEEKDAY,12,TRAIN,EW8/CC9,22375,28367
2023-02,WEEKENDS/HOLIDAY,12,TRAIN,EW8/CC9,17982,19827
2023-02,WEEKDAY,20,TRAIN,BP5,964,1472
2023-02,WEEKENDS/HOLIDAY,20,TRAIN,BP5,329,441
2023-02,WEEKENDS/HOLIDAY,12,TRAIN,EW15,4156,5643
2023-02,WEEKDAY,12,TRAIN,EW15,14363,15634
2023-02,WEEKDAY,7,TRAIN,SW4,5510,1382
2023-02,WEEKENDS/HOLIDAY,7,TRAIN,SW4,350,321
2023-02,WEEKENDS/HOLIDAY,22,TRAIN,DT33,971,5005
2023-02,WEEKDAY,22,TRAIN,DT33,2040,12651
2023-02,WEEKENDS/HOLIDAY,11,TRAIN,EW24/NS1,11765,25469
2023-02,WEEKDAY,11,TRAIN,EW24/NS1,21731,42073
2023-02,WEEKDAY,16,TRAIN,NS14,15915,23823
2023-02,WEEKENDS/HOLIDAY,16,TRAIN,NS14,7457,7745
2023-02,WEEKDAY,11,TRAIN,NS15,14052,10998
2023-02,WEEKENDS/HOLIDAY,11,TRAIN,NS15,4358,2441
2023-02,WEEKDAY,5,TRAIN,EW21/CC22,1582,976
2023-02,WEEKENDS/HOLIDAY,5,TRAIN,EW21/CC22,230,89
2023-02,WEEKENDS/HOLIDAY,11,TRAIN,BP4,554,366
2023-02,WEEKDAY,11,TRAIN,BP4,7358,2367
2023-02,WEEKDAY,11,TRAIN,NS27/CE2/TE20,1867,2103
2023-02,WEEKENDS/HOLIDAY,11,TRAIN,NS27/CE2/TE20,598,1065
2023-02,WEEKENDS/HOLIDAY,9,TRAIN,NS17/CC15,10953,7502
2023-02,WEEKDAY,9,TRAIN,NS17/CC15,32849,18425
2023-02,WEEKDAY,6,TRAIN,EW10,13323,2762
2023-02,WEEKENDS/HOLIDAY,6,TRAIN,EW10,2384,763
2023-02,WEEKDAY,8,TRAIN,NS28,1306,2132
2023-02,WEEKENDS/HOLIDAY,8,TRAIN,NS28,233,869
2023-02,WEEKDAY,7,TRAIN,EW33,3522,10069
2023-02,WEEKENDS/HOLIDAY,7,TRAIN,EW33,1060,1671
2023-02,WEEKENDS/HOLIDAY,18,TRAIN,BP12,537,641
2023-02,WEEKDAY,18,TRAIN,BP12,2382,5090
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,EW14/NS26,127,34
2023-02,WEEKDAY,0,TRAIN,EW14/NS26,299,76
2023-02,WEEKDAY,12,TRAIN,TE3,5679,2616
2023-02,WEEKENDS/HOLIDAY,12,TRAIN,TE3,2406,1075
2023-02,WEEKDAY,5,TRAIN,EW15,705,746
2023-02,WEEKENDS/HOLIDAY,5,TRAIN,EW15,104,32
2023-02,WEEKENDS/HOLIDAY,18,TRAIN,NS7,8436,6223
2023-02,WEEKDAY,18,TRAIN,NS7,20394,24052
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,NS15,114,323
2023-02,WEEKDAY,0,TRAIN,NS15,380,630
2023-02,WEEKENDS/HOLIDAY,15,TRAIN,NS15,3968,3180
2023-02,WEEKDAY,15,TRAIN,NS15,26853,10475
2023-02,WEEKDAY,22,TRAIN,DT7,2085,1304
2023-02,WEEKENDS/HOLIDAY,22,TRAIN,DT7,1159,570
2023-02,WEEKDAY,15,TRAIN,PW4,2522,4171
2023-02,WEEKENDS/HOLIDAY,15,TRAIN,PW4,1799,1942
2023-02,WEEKENDS/HOLIDAY,22,TRAIN,TE4,603,529
2023-02,WEEKDAY,22,TRAIN,TE4,1275,1274
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,CG2,26,28
2023-02,WEEKDAY,0,TRAIN,CG2,56,89
2023-02,WEEKENDS/HOLIDAY,16,TRAIN,NE5,2852,2827
2023-02,WEEKDAY,16,TRAIN,NE5,7390,6002
2023-02,WEEKDAY,11,TRAIN,NE16/STC,25007,19314
2023-02,WEEKENDS/HOLIDAY,11,TRAIN,NE16/STC,14289,11289
2023-02,WEEKENDS/HOLIDAY,9,TRAIN,TE6,3179,1164
2023-02,WEEKDAY,9,TRAIN,TE6,8160,2196
2023-02,WEEKDAY,13,TRAIN,EW9,16350,10361
2023-02,WEEKENDS/HOLIDAY,13,TRAIN,EW9,6771,6314
2023-02,WEEKENDS/HOLIDAY,8,TRAIN,TE5,997,394
2023-02,WEEKDAY,8,TRAIN,TE5,5897,2069
2023-02,WEEKDAY,17,TRAIN,CC6,7205,8616
2023-02,WEEKENDS/HOLIDAY,17,TRAIN,CC6,4314,4035
2023-02,WEEKDAY,8,TRAIN,NE8,16139,21366
2023-02,WEEKENDS/HOLIDAY,8,TRAIN,NE8,3759,5315
2023-02,WEEKENDS/HOLIDAY,20,TRAIN,CC7,980,1792
2023-02,WEEKDAY,20,TRAIN,CC7,2503,4663
2023-02,WEEKDAY,20,TRAIN,NS3,5899,19529
2023-02,WEEKENDS/HOLIDAY,20,TRAIN,NS3,2395,6290
2023-02,WEEKENDS/HOLIDAY,10,TRAIN,SE3,1170,420
2023-02,WEEKDAY,10,TRAIN,SE3,2237,696
2023-02,WEEKENDS/HOLIDAY,9,TRAIN,EW16/NE3/TE17,3682,4646
2023-02,WEEKDAY,9,TRAIN,EW16/NE3/TE17,12243,35969
2023-02,WEEKDAY,18,TRAIN,NE16/STC,39370,83176
2023-02,WEEKENDS/HOLIDAY,18,TRAIN,NE16/STC,12381,17137
2023-02,WEEKDAY,23,TRAIN,EW6,800,3577
2023-02,WEEKENDS/HOLIDAY,23,TRAIN,EW6,401,1429
2023-02,WEEKENDS/HOLIDAY,12,TRAIN,CC4/DT15,2309,5888
2023-02,WEEKDAY,12,TRAIN,CC4/DT15,6637,10998
2023-02,WEEKDAY,15,TRAIN,NE4/DT19,40239,32892
2023-02,WEEKENDS/HOLIDAY,15,TRAIN,NE4/DT19,21683,17863
2023-02,WEEKDAY,8,TRAIN,SW1,1926,3660
2023-02,WEEKENDS/HOLIDAY,8,TRAIN,SW1,496,346
2023-02,WEEKDAY,9,TRAIN,NS10,37970,15989
2023-02,WEEKENDS/HOLIDAY,9,TRAIN,NS10,13842,6206
2023-02,WEEKENDS/HOLIDAY,7,TRAIN,BP5,420,331
2023-02,WEEKDAY,7,TRAIN,BP5,4171,2967
2023-02,WEEKDAY,8,TRAIN,SW6,5301,1712
2023-02,WEEKENDS/HOLIDAY,8,TRAIN,SW6,1260,329
2023-02,WEEKDAY,16,TRAIN,EW4,13972,10320
2023-02,WEEKENDS/HOLIDAY,16,TRAIN,EW4,3888,3897
2023-02,WEEKDAY,14,TRAIN,CC2,2511,3024
2023-02,WEEKENDS/HOLIDAY,14,TRAIN,CC2,1164,1519
2023-02,WEEKDAY,12,TRAIN,NE14,18469,13273
2023-02,WEEKENDS/HOLIDAY,12,TRAIN,NE14,10305,6894
2023-02,WEEKDAY,20,TRAIN,NE4/DT19,45109,18448
2023-02,WEEKENDS/HOLIDAY,20,TRAIN,NE4/DT19,19751,8391
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,SE5,11,75
2023-02,WEEKDAY,0,TRAIN,SE5,27,132
2023-02,WEEKDAY,15,TRAIN,EW23,33506,29993
2023-02,WEEKENDS/HOLIDAY,15,TRAIN,EW23,12335,12330
2023-02,WEEKENDS/HOLIDAY,20,TRAIN,NE8,13137,7833
2023-02,WEEKDAY,20,TRAIN,NE8,18447,17692
2023-02,WEEKDAY,19,TRAIN,EW33,3807,2811
2023-02,WEEKENDS/HOLIDAY,19,TRAIN,EW33,1115,1131
2023-02,WEEKDAY,8,TRAIN,TE16,4301,5416
2023-02,WEEKENDS/HOLIDAY,8,TRAIN,TE16,869,733
2023-02,WEEKENDS/HOLIDAY,6,TRAIN,CC16,703,408
2023-02,WEEKDAY,6,TRAIN,CC16,5750,3014
2023-02,WEEKENDS/HOLIDAY,13,TRAIN,TE4,1235,1008
2023-02,WEEKDAY,13,TRAIN,TE4,1827,1716
2023-02,WEEKDAY,11,TRAIN,BP12,1764,868
2023-02,WEEKENDS/HOLIDAY,11,TRAIN,BP12,1006,535
2023-02,WEEKENDS/HOLIDAY,13,TRAIN,NE17/PTC,15027,14043
2023-02,WEEKDAY,13,TRAIN,NE17/PTC,26657,27243
2023-02,WEEKENDS/HOLIDAY,20,TRAIN,DT5,2292,3442
2023-02,WEEKDAY,20,TRAIN,DT5,6126,8603
2023-02,WEEKDAY,15,TRAIN,DT22,4167,4527
2023-02,WEEKENDS/HOLIDAY,15,TRAIN,DT22,2534,3105
2023-02,WEEKDAY,21,TRAIN,CC27,2440,416
2023-02,WEEKENDS/HOLIDAY,21,TRAIN,CC27,396,153
2023-02,WEEKDAY,15,TRAIN,SE4,2001,2943
2023-02,WEEKENDS/HOLIDAY,15,TRAIN,SE4,1089,1009
2023-02,WEEKENDS/HOLIDAY,19,TRAIN,PW6,207,450
2023-02,WEEKDAY,19,TRAIN,PW6,614,1724
2023-02,WEEKDAY,8,TRAIN,NE10,19561,21949
2023-02,WEEKENDS/HOLIDAY,8,TRAIN,NE10,3162,2871
2023-02,WEEKDAY,15,TRAIN,NS5,15059,19931
2023-02,WEEKENDS/HOLIDAY,15,TRAIN,NS5,7012,8236
2023-02,WEEKDAY,11,TRAIN,DT13,4302,7500
2023-02,WEEKENDS/HOLIDAY,11,TRAIN,DT13,2179,3584
2023-02,WEEKDAY,20,TRAIN,DT27,4161,4420
2023-02,WEEKENDS/HOLIDAY,20,TRAIN,DT27,1015,1944
2023-02,WEEKDAY,20,TRAIN,SW3,477,2261
2023-02,WEEKENDS/HOLIDAY,20,TRAIN,SW3,252,729
2023-02,WEEKDAY,14,TRAIN,EW16/NE3/TE17,18761,20133
2023-02,WEEKENDS/HOLIDAY,14,TRAIN,EW16/NE3/TE17,5889,3928
2023-02,WEEKDAY,21,TRAIN,CG1/DT35,10013,1057
2023-02,WEEKENDS/HOLIDAY,21,TRAIN,CG1/DT35,5244,686
2023-02,WEEKDAY,13,TRAIN,NS21/DT11,28377,32840
2023-02,WEEKENDS/HOLIDAY,13,TRAIN,NS21/DT11,16457,16433
2023-02,WEEKENDS/HOLIDAY,17,TRAIN,TE12,836,483
2023-02,WEEKDAY,17,TRAIN,TE12,6175,1197
2023-02,WEEKENDS/HOLIDAY,7,TRAIN,CC23,583,1873
2023-02,WEEKDAY,7,TRAIN,CC23,2779,24028
2023-02,WEEKDAY,16,TRAIN,SW1,3108,1715
2023-02,WEEKENDS/HOLIDAY,16,TRAIN,SW1,762,513
2023-02,WEEKENDS/HOLIDAY,20,TRAIN,NE15,1839,6256
2023-02,WEEKDAY,20,TRAIN,NE15,4524,18805
2023-02,WEEKENDS/HOLIDAY,13,TRAIN,EW29,3076,2099
2023-02,WEEKDAY,13,TRAIN,EW29,5517,4232
2023-02,WEEKENDS/HOLIDAY,13,TRAIN,EW30,573,251
2023-02,WEEKDAY,13,TRAIN,EW30,927,569
2023-02,WEEKENDS/HOLIDAY,7,TRAIN,EW32,1356,2921
2023-02,WEEKDAY,7,TRAIN,EW32,2879,19724
2023-02,WEEKENDS/HOLIDAY,7,TRAIN,NE14,6604,2989
2023-02,WEEKDAY,7,TRAIN,NE14,56329,29305
2023-02,WEEKDAY,13,TRAIN,SE3,3058,2179
2023-02,WEEKENDS/HOLIDAY,13,TRAIN,SE3,924,793
2023-02,WEEKENDS/HOLIDAY,20,TRAIN,EW30,600,689
2023-02,WEEKDAY,20,TRAIN,EW30,4358,799
2023-02,WEEKENDS/HOLIDAY,12,TRAIN,NS17/CC15,14406,11763
2023-02,WEEKDAY,12,TRAIN,NS17/CC15,27074,26460
2023-02,WEEKENDS/HOLIDAY,15,TRAIN,EW26,7031,7309
2023-02,WEEKDAY,15,TRAIN,EW26,16324,17526
2023-02,WEEKENDS/HOLIDAY,17,TRAIN,TE13,753,579
2023-02,WEEKDAY,17,TRAIN,TE13,3173,1536
2023-02,WEEKENDS/HOLIDAY,9,TRAIN,EW23,11933,9343
2023-02,WEEKDAY,9,TRAIN,EW23,27614,30185
2023-02,WEEKENDS/HOLIDAY,21,TRAIN,DT34,339,1037
2023-02,WEEKDAY,21,TRAIN,DT34,1393,2326
2023-02,WEEKDAY,7,TRAIN,DT33,40745,14319
2023-02,WEEKENDS/HOLIDAY,7,TRAIN,DT33,4009,1434
2023-02,WEEKDAY,0,TRAIN,DT24,17,241
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,DT24,9,117
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,NS18,55,354
2023-02,WEEKDAY,0,TRAIN,NS18,113,877
2023-02,WEEKDAY,22,TRAIN,NS24/NE6/CC1,18766,4684
2023-02,WEEKENDS/HOLIDAY,22,TRAIN,NS24/NE6/CC1,7479,2324
2023-02,WEEKENDS/HOLIDAY,21,TRAIN,EW3,2230,4359
2023-02,WEEKDAY,21,TRAIN,EW3,5856,11805
2023-02,WEEKENDS/HOLIDAY,19,TRAIN,EW26,5528,9806
2023-02,WEEKDAY,19,TRAIN,EW26,15125,43282
2023-02,WEEKENDS/HOLIDAY,6,TRAIN,BP3,828,161
2023-02,WEEKDAY,6,TRAIN,BP3,9656,786
2023-02,WEEKENDS/HOLIDAY,13,TRAIN,EW12/DT14,16451,24842
2023-02,WEEKDAY,13,TRAIN,EW12/DT14,31569,36235
2023-02,WEEKDAY,8,TRAIN,CG2,7272,16326
2023-02,WEEKENDS/HOLIDAY,8,TRAIN,CG2,2939,4302
2023-02,WEEKENDS/HOLIDAY,10,TRAIN,NS4/BP1,10211,7824
2023-02,WEEKDAY,10,TRAIN,NS4/BP1,19845,14648
2023-02,WEEKDAY,22,TRAIN,NS5,4948,17066
2023-02,WEEKENDS/HOLIDAY,22,TRAIN,NS5,2470,6788
2023-02,WEEKDAY,22,TRAIN,SE3,186,2323
2023-02,WEEKENDS/HOLIDAY,22,TRAIN,SE3,137,962
2023-02,WEEKENDS/HOLIDAY,20,TRAIN,NE13,3550,5035
2023-02,WEEKDAY,20,TRAIN,NE13,9649,14199
2023-02,WEEKDAY,19,TRAIN,NS17/CC15,35947,47773
2023-02,WEEKENDS/HOLIDAY,19,TRAIN,NS17/CC15,9499,11054
2023-02,WEEKENDS/HOLIDAY,14,TRAIN,TE8,2947,2428
2023-02,WEEKDAY,14,TRAIN,TE8,4246,4814
2023-02,WEEKENDS/HOLIDAY,23,TRAIN,CC17/TE9,173,499
2023-02,WEEKDAY,23,TRAIN,CC17/TE9,339,1218
2023-02,WEEKENDS/HOLIDAY,10,TRAIN,DT18,543,1563
2023-02,WEEKDAY,10,TRAIN,DT18,2504,10430
2023-02,WEEKDAY,19,TRAIN,EW23,39391,47629
2023-02,WEEKENDS/HOLIDAY,19,TRAIN,EW23,10668,12848
2023-02,WEEKENDS/HOLIDAY,14,TRAIN,EW15,4882,4007
2023-02,WEEKDAY,14,TRAIN,EW15,14538,13158
2023-02,WEEKENDS/HOLIDAY,23,TRAIN,EW12/DT14,5010,1889
2023-02,WEEKDAY,23,TRAIN,EW12/DT14,10617,4411
2023-02,WEEKENDS/HOLIDAY,7,TRAIN,NS15,3034,3188
2023-02,WEEKDAY,7,TRAIN,NS15,24186,63172
2023-02,WEEKENDS/HOLIDAY,12,TRAIN,EW30,813,285
2023-02,WEEKDAY,12,TRAIN,EW30,1333,631
2023-02,WEEKDAY,12,TRAIN,NE11,3769,3092
2023-02,WEEKENDS/HOLIDAY,12,TRAIN,NE11,2679,1753
2023-02,WEEKDAY,8,TRAIN,PE5,8245,2061
2023-02,WEEKENDS/HOLIDAY,8,TRAIN,PE5,1922,623
2023-02,WEEKDAY,14,TRAIN,TE19,1455,1660
2023-02,WEEKENDS/HOLIDAY,14,TRAIN,TE19,452,420
2023-02,WEEKENDS/HOLIDAY,19,TRAIN,TE19,515,347
2023-02,WEEKDAY,19,TRAIN,TE19,6726,1038
2023-02,WEEKENDS/HOLIDAY,9,TRAIN,CC11,1307,3788
2023-02,WEEKDAY,9,TRAIN,CC11,3619,28476
2023-02,WEEKDAY,0,TRAIN,SE1,28,316
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,SE1,21,160
2023-02,WEEKENDS/HOLIDAY,12,TRAIN,NS14,9344,6133
2023-02,WEEKDAY,12,TRAIN,NS14,17568,11815
2023-02,WEEKDAY,14,TRAIN,SE4,2297,3001
2023-02,WEEKENDS/HOLIDAY,14,TRAIN,SE4,1234,1102
2023-02,WEEKENDS/HOLIDAY,23,TRAIN,EW11,1237,1831
2023-02,WEEKDAY,23,TRAIN,EW11,2679,4109
2023-02,WEEKENDS/HOLIDAY,8,TRAIN,TE18,533,1148
2023-02,WEEKDAY,8,TRAIN,TE18,1064,6222
2023-02,WEEKENDS/HOLIDAY,13,TRAIN,CC19/DT9,2744,2762
